time,latitud,longitud,TxPM,CodigoNacional,nombreEstacion
1997-03-03 00:00:00,-18.35555,-70.34028,29.2,180005.0,"Chacalluta, Arica Ap."
1997-03-04 00:00:00,-18.35555,-70.34028,28.8,180005.0,"Chacalluta, Arica Ap."
1997-03-05 00:00:00,-18.35555,-70.34028,28.6,180005.0,"Chacalluta, Arica Ap."
1997-03-06 00:00:00,-18.35555,-70.34028,28.2,180005.0,"Chacalluta, Arica Ap."
1997-03-07 00:00:00,-18.35555,-70.34028,28.4,180005.0,"Chacalluta, Arica Ap."
1997-03-08 00:00:00,-18.35555,-70.34028,26.9,180005.0,"Chacalluta, Arica Ap."
1997-03-09 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1997-03-10 00:00:00,-18.35555,-70.34028,26.9,180005.0,"Chacalluta, Arica Ap."
1997-03-11 00:00:00,-18.35555,-70.34028,25.5,180005.0,"Chacalluta, Arica Ap."
1997-03-12 00:00:00,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1997-03-13 00:00:00,-18.35555,-70.34028,25.8,180005.0,"Chacalluta, Arica Ap."
1997-03-14 00:00:00,-18.35555,-70.34028,26.3,180005.0,"Chacalluta, Arica Ap."
1997-03-15 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1997-03-16 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1997-03-17 00:00:00,-18.35555,-70.34028,26.8,180005.0,"Chacalluta, Arica Ap."
1997-03-18 00:00:00,-18.35555,-70.34028,25.3,180005.0,"Chacalluta, Arica Ap."
1997-03-19 00:00:00,-18.35555,-70.34028,27.5,180005.0,"Chacalluta, Arica Ap."
1997-03-20 00:00:00,-18.35555,-70.34028,27.2,180005.0,"Chacalluta, Arica Ap."
1997-03-21 00:00:00,-18.35555,-70.34028,26.6,180005.0,"Chacalluta, Arica Ap."
1997-03-22 00:00:00,-18.35555,-70.34028,26.2,180005.0,"Chacalluta, Arica Ap."
1997-03-23 00:00:00,-18.35555,-70.34028,25.7,180005.0,"Chacalluta, Arica Ap."
1997-03-24 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1997-03-25 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-03-26 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-03-27 00:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1997-03-28 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1997-03-29 00:00:00,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1997-03-30 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1997-03-31 00:00:00,-18.35555,-70.34028,25.6,180005.0,"Chacalluta, Arica Ap."
1997-04-01 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1997-04-02 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1997-04-03 00:00:00,-18.35555,-70.34028,25.9,180005.0,"Chacalluta, Arica Ap."
1997-04-04 00:00:00,-18.35555,-70.34028,23.6,180005.0,"Chacalluta, Arica Ap."
1997-04-05 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-04-06 00:00:00,-18.35555,-70.34028,24.7,180005.0,"Chacalluta, Arica Ap."
1997-04-07 00:00:00,-18.35555,-70.34028,24.9,180005.0,"Chacalluta, Arica Ap."
1997-04-08 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1997-04-09 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1997-04-10 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1997-04-11 00:00:00,-18.35555,-70.34028,25.3,180005.0,"Chacalluta, Arica Ap."
1997-04-12 00:00:00,-18.35555,-70.34028,25.1,180005.0,"Chacalluta, Arica Ap."
1997-04-13 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-04-14 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-04-15 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-04-16 00:00:00,-18.35555,-70.34028,25.4,180005.0,"Chacalluta, Arica Ap."
1997-04-17 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-04-18 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1997-04-19 00:00:00,-18.35555,-70.34028,23.7,180005.0,"Chacalluta, Arica Ap."
1997-04-20 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1997-04-21 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1997-04-22 00:00:00,-18.35555,-70.34028,24.1,180005.0,"Chacalluta, Arica Ap."
1997-04-23 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1997-04-24 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1997-04-25 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1997-04-26 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1997-04-27 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1997-04-28 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-04-29 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1997-04-30 00:00:00,-18.35555,-70.34028,23.9,180005.0,"Chacalluta, Arica Ap."
1997-05-01 00:00:00,-18.35555,-70.34028,23.3,180005.0,"Chacalluta, Arica Ap."
1997-05-02 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-05-03 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-05-04 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1997-05-05 00:00:00,-18.35555,-70.34028,23.6,180005.0,"Chacalluta, Arica Ap."
1997-05-06 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1997-05-07 00:00:00,-18.35555,-70.34028,26.0,180005.0,"Chacalluta, Arica Ap."
1997-05-08 00:00:00,-18.35555,-70.34028,25.3,180005.0,"Chacalluta, Arica Ap."
1997-05-09 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1997-05-10 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-05-11 00:00:00,-18.35555,-70.34028,25.0,180005.0,"Chacalluta, Arica Ap."
1997-05-12 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1997-05-13 00:00:00,-18.35555,-70.34028,24.0,180005.0,"Chacalluta, Arica Ap."
1997-05-14 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-05-15 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-05-16 00:00:00,-18.35555,-70.34028,24.6,180005.0,"Chacalluta, Arica Ap."
1997-05-17 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-05-18 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-05-19 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-05-20 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1997-05-21 00:00:00,-18.35555,-70.34028,23.4,180005.0,"Chacalluta, Arica Ap."
1997-05-22 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-05-23 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-05-24 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-05-25 00:00:00,-18.35555,-70.34028,23.3,180005.0,"Chacalluta, Arica Ap."
1997-05-26 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-05-27 00:00:00,-18.35555,-70.34028,24.8,180005.0,"Chacalluta, Arica Ap."
1997-05-28 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-05-29 00:00:00,-18.35555,-70.34028,23.6,180005.0,"Chacalluta, Arica Ap."
1997-05-30 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-05-31 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-01 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-06-02 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-03 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-06-04 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-05 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-06-06 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-06-07 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1997-06-08 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-09 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-10 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-06-11 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1997-06-12 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-06-13 00:00:00,-18.35555,-70.34028,23.8,180005.0,"Chacalluta, Arica Ap."
1997-06-14 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-06-15 00:00:00,-18.35555,-70.34028,24.4,180005.0,"Chacalluta, Arica Ap."
1997-06-16 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-17 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-18 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-06-19 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-20 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-21 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-06-22 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-06-23 00:00:00,-18.35555,-70.34028,21.9,180005.0,"Chacalluta, Arica Ap."
1997-06-24 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-06-25 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-06-26 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-27 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-06-28 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-06-29 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-06-30 00:00:00,-18.35555,-70.34028,21.5,180005.0,"Chacalluta, Arica Ap."
1997-07-01 00:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1997-07-02 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-07-03 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-07-04 00:00:00,-18.35555,-70.34028,21.5,180005.0,"Chacalluta, Arica Ap."
1997-07-05 00:00:00,-18.35555,-70.34028,20.2,180005.0,"Chacalluta, Arica Ap."
1997-07-06 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-07-07 00:00:00,-18.35555,-70.34028,21.3,180005.0,"Chacalluta, Arica Ap."
1997-07-08 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-07-09 00:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1997-07-10 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-07-11 00:00:00,-18.35555,-70.34028,21.9,180005.0,"Chacalluta, Arica Ap."
1997-07-12 00:00:00,-18.35555,-70.34028,22.1,180005.0,"Chacalluta, Arica Ap."
1997-07-13 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-07-14 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-07-15 00:00:00,-18.35555,-70.34028,20.1,180005.0,"Chacalluta, Arica Ap."
1997-07-16 00:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1997-07-17 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-07-18 00:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1997-07-19 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-07-20 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1997-07-21 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1997-07-22 00:00:00,-18.35555,-70.34028,20.4,180005.0,"Chacalluta, Arica Ap."
1997-07-23 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-07-24 00:00:00,-18.35555,-70.34028,20.0,180005.0,"Chacalluta, Arica Ap."
1997-07-25 00:00:00,-18.35555,-70.34028,21.1,180005.0,"Chacalluta, Arica Ap."
1997-07-26 00:00:00,-18.35555,-70.34028,21.1,180005.0,"Chacalluta, Arica Ap."
1997-07-27 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1997-07-28 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-07-29 00:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1997-07-30 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-07-31 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-08-01 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-08-02 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-08-03 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-08-04 00:00:00,-18.35555,-70.34028,21.4,180005.0,"Chacalluta, Arica Ap."
1997-08-05 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-08-06 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-08-07 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-08-08 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-08-09 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-08-10 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1997-08-11 00:00:00,-18.35555,-70.34028,33.3,180005.0,"Chacalluta, Arica Ap."
1997-08-12 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-08-13 00:00:00,-18.35555,-70.34028,22.9,180005.0,"Chacalluta, Arica Ap."
1997-08-14 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-08-15 00:00:00,-18.35555,-70.34028,22.6,180005.0,"Chacalluta, Arica Ap."
1997-08-16 00:00:00,-18.35555,-70.34028,22.1,180005.0,"Chacalluta, Arica Ap."
1997-08-17 00:00:00,-18.35555,-70.34028,24.2,180005.0,"Chacalluta, Arica Ap."
1997-08-18 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-08-19 00:00:00,-18.35555,-70.34028,22.1,180005.0,"Chacalluta, Arica Ap."
1997-08-20 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1997-08-21 00:00:00,-18.35555,-70.34028,21.4,180005.0,"Chacalluta, Arica Ap."
1997-08-22 00:00:00,-18.35555,-70.34028,20.9,180005.0,"Chacalluta, Arica Ap."
1997-08-23 00:00:00,-18.35555,-70.34028,20.5,180005.0,"Chacalluta, Arica Ap."
1997-08-24 00:00:00,-18.35555,-70.34028,20.6,180005.0,"Chacalluta, Arica Ap."
1997-08-25 00:00:00,-18.35555,-70.34028,21.2,180005.0,"Chacalluta, Arica Ap."
1997-08-26 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-08-27 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-08-28 00:00:00,-18.35555,-70.34028,21.9,180005.0,"Chacalluta, Arica Ap."
1997-08-29 00:00:00,-18.35555,-70.34028,20.4,180005.0,"Chacalluta, Arica Ap."
1997-08-30 00:00:00,-18.35555,-70.34028,20.4,180005.0,"Chacalluta, Arica Ap."
1997-08-31 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-01 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-09-02 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-09-03 00:00:00,-18.35555,-70.34028,21.9,180005.0,"Chacalluta, Arica Ap."
1997-09-04 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-09-05 00:00:00,-18.35555,-70.34028,21.9,180005.0,"Chacalluta, Arica Ap."
1997-09-06 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-07 00:00:00,-18.35555,-70.34028,21.3,180005.0,"Chacalluta, Arica Ap."
1997-09-08 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-09 00:00:00,-18.35555,-70.34028,21.7,180005.0,"Chacalluta, Arica Ap."
1997-09-10 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-09-11 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-09-12 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-13 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-14 00:00:00,-18.35555,-70.34028,21.0,180005.0,"Chacalluta, Arica Ap."
1997-09-15 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-09-16 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1997-09-17 00:00:00,-18.35555,-70.34028,20.7,180005.0,"Chacalluta, Arica Ap."
1997-09-18 00:00:00,-18.35555,-70.34028,23.2,180005.0,"Chacalluta, Arica Ap."
1997-09-19 00:00:00,-18.35555,-70.34028,22.8,180005.0,"Chacalluta, Arica Ap."
1997-09-20 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-09-21 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1997-09-22 00:00:00,-18.35555,-70.34028,22.0,180005.0,"Chacalluta, Arica Ap."
1997-09-23 00:00:00,-18.35555,-70.34028,21.6,180005.0,"Chacalluta, Arica Ap."
1997-09-24 00:00:00,-18.35555,-70.34028,20.8,180005.0,"Chacalluta, Arica Ap."
1997-09-25 00:00:00,-18.35555,-70.34028,22.3,180005.0,"Chacalluta, Arica Ap."
1997-09-26 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1997-09-27 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-09-28 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-09-29 00:00:00,-18.35555,-70.34028,22.5,180005.0,"Chacalluta, Arica Ap."
1997-09-30 00:00:00,-18.35555,-70.34028,21.8,180005.0,"Chacalluta, Arica Ap."
1997-10-01 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-10-02 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-10-03 00:00:00,-18.35555,-70.34028,22.4,180005.0,"Chacalluta, Arica Ap."
1997-10-04 00:00:00,-18.35555,-70.34028,23.0,180005.0,"Chacalluta, Arica Ap."
1997-10-05 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
1997-10-06 00:00:00,-18.35555,-70.34028,22.2,180005.0,"Chacalluta, Arica Ap."
